n,t,Term
Anastasis Sofokleous,test case;client device;usage environment;content adaptation;mobile content;control flow graph;optimal strategy;user preference;Client-centric usage environment adaptation;MPEG-7 semantic content model,"['test', 'case', 'client', 'devic', 'usag', 'environ', 'content', 'adapt', 'mobil', 'content', 'control', 'flow', 'graph', 'optim', 'strategi', 'user', 'prefer', 'client-centr', 'usag', 'environ', 'adapt', 'mpeg-7', 'semant', 'content', 'model']"
M. A. Costa,neural network;neural model;norm value;preestablished norm value;Pareto set;generalization performance;MD predictor;SVM predictor;DNA probe;maximum linkage,"['neural', 'network', 'neural', 'model', 'norm', 'valu', 'preestablish', 'norm', 'valu', 'pareto', 'set', 'gener', 'perform', 'md', 'predictor', 'svm', 'predictor', 'dna', 'probe', 'maximum', 'linkag']"
S. Savazzi,collaborative transmission;fading statistic;optimal design;energy consumption;cooperative transmission protocol;Rayleigh fading case;arbitrary fading channelsIn;arbitrary fading distribution;cooperative fading region;fading channelsIn,"['collabor', 'transmiss', 'fade', 'statist', 'optim', 'design', 'energi', 'consumpt', 'cooper', 'transmiss', 'protocol', 'rayleigh', 'fade', 'case', 'arbitrari', 'fade', 'channelsin', 'arbitrari', 'fade', 'distribut', 'cooper', 'fade', 'region', 'fade', 'channelsin']"
Anna H. Reali Costa,nondominated policy;RL algorithm;Reinforcement Learning;Heuristic Search;autonomous learning;new learning algorithm;new learning function;on-line learning approach;experimental result;reward function,"['nondomin', 'polici', 'rl', 'algorithm', 'reinforc', 'learn', 'heurist', 'search', 'autonom', 'learn', 'new', 'learn', 'algorithm', 'new', 'learn', 'function', 'on-lin', 'learn', 'approach', 'experiment', 'result', 'reward', 'function']"
Fengxi Song,discriminant vector;face recognition;experimental result;proposed method;feature extraction;original sample;discriminant criterion;feature component;state-of-the-art facial feature extraction;direct linear discriminant analysis,"['discrimin', 'vector', 'face', 'recognit', 'experiment', 'result', 'propos', 'method', 'featur', 'extract', 'origin', 'sampl', 'discrimin', 'criterion', 'featur', 'compon', 'state-of-the-art', 'facial', 'featur', 'extract', 'direct', 'linear', 'discrimin', 'analysi']"
M. J. Rodríguez-Fortiz,software system;hypermedia system;system level;Agent-based system;educational activity;non-functional requirement;AAL system;adaptive hypermedia system;agents-based system;evolutionary agent-based software system,"['softwar', 'system', 'hypermedia', 'system', 'system', 'level', 'agent-bas', 'system', 'educ', 'activ', 'non-funct', 'requir', 'aal', 'system', 'adapt', 'hypermedia', 'system', 'agents-bas', 'system', 'evolutionari', 'agent-bas', 'softwar', 'system']"
Yves Pochet,production planning;valid inequality;convex hull;lot-sizing problem;coefficient strengthening;single item;production planning model;production planning problem;test problem;constant unit production cost,"['product', 'plan', 'valid', 'inequ', 'convex', 'hull', 'lot-siz', 'problem', 'coeffici', 'strengthen', 'singl', 'item', 'product', 'plan', 'model', 'product', 'plan', 'problem', 'test', 'problem', 'constant', 'unit', 'product', 'cost']"
Leo Ferres,Web Accessibility;Improving accessibility;mathematical formula;Inclusive Web;Wikipedia math accessorMathematics accessibility;accessibility barrier;statistical graph knowledge;graphical representation;Web accessibility research field;accessibility engineering,"['web', 'access', 'improv', 'access', 'mathemat', 'formula', 'inclus', 'web', 'wikipedia', 'math', 'accessormathemat', 'access', 'access', 'barrier', 'statist', 'graph', 'knowledg', 'graphic', 'represent', 'web', 'access', 'research', 'field', 'access', 'engin']"
Arlene Astell,dementia care;Older People;dementia access long-term memory;dementia care environment;dementia care environmentsAs world;Stimulating people;different people;elderly people;information people;methodological considerationsOlder people,"['dementia', 'care', 'older', 'peopl', 'dementia', 'access', 'long-term', 'memori', 'dementia', 'care', 'environ', 'dementia', 'care', 'environmentsa', 'world', 'stimul', 'peopl', 'differ', 'peopl', 'elderli', 'peopl', 'inform', 'peopl', 'methodolog', 'considerationsold', 'peopl']"
A. M. Ionescu,bulk Si;stencil lithography;bulk silicon;single wafer process;local volume inversion;bulk siliconThis paper report;low field mobility;device characteristic;reference device;subthreshold slope,"['bulk', 'si', 'stencil', 'lithographi', 'bulk', 'silicon', 'singl', 'wafer', 'process', 'local', 'volum', 'invers', 'bulk', 'siliconthi', 'paper', 'report', 'low', 'field', 'mobil', 'devic', 'characterist', 'refer', 'devic', 'subthreshold', 'slope']"
Fulufhelo V. Nelwamondo,missing data;genetic algorithm;missing data estimation;missing data problem;smart card;multi-layered artificial immune system;genetic algorithmMissing data;input data;missing data imputation;non-stationary data,"['miss', 'data', 'genet', 'algorithm', 'miss', 'data', 'estim', 'miss', 'data', 'problem', 'smart', 'card', 'multi-lay', 'artifici', 'immun', 'system', 'genet', 'algorithmmiss', 'data', 'input', 'data', 'miss', 'data', 'imput', 'non-stationari', 'data']"
Philip J. Rhodes,data dependency;data parallelization;data parallelization scheme;separate spatial data iterators;data block;data intensive cluster application;data model;data volume;massive data;scientific data,"['data', 'depend', 'data', 'parallel', 'data', 'parallel', 'scheme', 'separ', 'spatial', 'data', 'iter', 'data', 'block', 'data', 'intens', 'cluster', 'applic', 'data', 'model', 'data', 'volum', 'massiv', 'data', 'scientif', 'data']"
"S. T. Redwine, Jr.",secure software;secure software engineering;software engineering;COCOMO software;industry software tool;modern software technology;secure software engineering workforce;secure software engineering-have;software engineering environment;software process dependabilitySoftware technology,"['secur', 'softwar', 'secur', 'softwar', 'engin', 'softwar', 'engin', 'cocomo', 'softwar', 'industri', 'softwar', 'tool', 'modern', 'softwar', 'technolog', 'secur', 'softwar', 'engin', 'workforc', 'secur', 'softwar', 'engineering-hav', 'softwar', 'engin', 'environ', 'softwar', 'process', 'dependabilitysoftwar', 'technolog']"
A Bultheel,orthogonal rational function;rational function;quadrature formula;orthogonal Laurent polynomial;unit circle;rational approximation;rational modification;orthogonal rational functionsWe;rational Gauss-Chebyshev quadrature formula;rational Gauss-type quadrature formula,"['orthogon', 'ration', 'function', 'ration', 'function', 'quadratur', 'formula', 'orthogon', 'laurent', 'polynomi', 'unit', 'circl', 'ration', 'approxim', 'ration', 'modif', 'orthogon', 'ration', 'functionsw', 'ration', 'gauss-chebyshev', 'quadratur', 'formula', 'ration', 'gauss-typ', 'quadratur', 'formula']"
Bjørn Axel Gran,CORAS methodology;Risk Assessment;security issue;efficient risk assessment;CORAS Framework;CORAS project;Model-Based Risk Assessment;expert judgment;security critical system;software safety standard,"['cora', 'methodolog', 'risk', 'assess', 'secur', 'issu', 'effici', 'risk', 'assess', 'cora', 'framework', 'cora', 'project', 'model-bas', 'risk', 'assess', 'expert', 'judgment', 'secur', 'critic', 'system', 'softwar', 'safeti', 'standard']"
J. H. Koolen,distance-regular graph;regular graph;Johnson graph;triangle-free distance-regular graph;intersection array;Delsarte clique graph;Odd graph;antipodal distance-regular graph;bipartite distance-regular graph;local graph,"['distance-regular', 'graph', 'regular', 'graph', 'johnson', 'graph', 'triangle-fre', 'distance-regular', 'graph', 'intersect', 'array', 'delsart', 'cliqu', 'graph', 'odd', 'graph', 'antipod', 'distance-regular', 'graph', 'bipartit', 'distance-regular', 'graph', 'local', 'graph']"
Hrishikesh Aradhye,proposed method;non-roman text;roman text;text blob;unconstrained web video;video chat session;video content;advertisement text;existing text detection algorithm;existing text detector,"['propos', 'method', 'non-roman', 'text', 'roman', 'text', 'text', 'blob', 'unconstrain', 'web', 'video', 'video', 'chat', 'session', 'video', 'content', 'advertis', 'text', 'exist', 'text', 'detect', 'algorithm', 'exist', 'text', 'detector']"
B. Reusch,mutation operator;Prime Implicants;Computational Intelligence;International Conference;Boolean function;Fuzzy Days;Morlet wavelet;Directed MutationDirected mutation;mutation strength;overviewDirected mutation,"['mutat', 'oper', 'prime', 'implic', 'comput', 'intellig', 'intern', 'confer', 'boolean', 'function', 'fuzzi', 'day', 'morlet', 'wavelet', 'direct', 'mutationdirect', 'mutat', 'mutat', 'strength', 'overviewdirect', 'mutat']"
Vera T Sós,hereditary graph property;random graph;labelled speed;unlabelled speed;graph limit;graph sequence;n density;certain equivalent graph property;convergent graph sequence;dense graph,"['hereditari', 'graph', 'properti', 'random', 'graph', 'label', 'speed', 'unlabel', 'speed', 'graph', 'limit', 'graph', 'sequenc', 'n', 'densiti', 'certain', 'equival', 'graph', 'properti', 'converg', 'graph', 'sequenc', 'dens', 'graph']"
Henning Bruhn,finite graph;cycle space;infinite cycle;claw-free graph;infinite graph;rayless graph;finite graphsWe;3-connected graph;infinite circuit;planarity criterion,"['finit', 'graph', 'cycl', 'space', 'infinit', 'cycl', 'claw-fre', 'graph', 'infinit', 'graph', 'rayless', 'graph', 'finit', 'graphsw', '3-connect', 'graph', 'infinit', 'circuit', 'planar', 'criterion']"
Mick Kerrigan,Semantic Web Services;Web Service Modeling Toolkit;Semantic Web;available Web service;Semantic Web service;Web Service Execution Environment;web service;Modeling Semantic Web Services;Semantic Web Services infrastructure;Web Service Modeling Language,"['semant', 'web', 'servic', 'web', 'servic', 'model', 'toolkit', 'semant', 'web', 'avail', 'web', 'servic', 'semant', 'web', 'servic', 'web', 'servic', 'execut', 'environ', 'web', 'servic', 'model', 'semant', 'web', 'servic', 'semant', 'web', 'servic', 'infrastructur', 'web', 'servic', 'model', 'languag']"
René Doursat,emergent engineering;complex system;bio-inspired systems engineering;classically trained systems engineer;complex systems design;complex systems science;systems design;systems engineering;traditional systems engineering;GP system,"['emerg', 'engin', 'complex', 'system', 'bio-inspir', 'system', 'engin', 'classic', 'train', 'system', 'engin', 'complex', 'system', 'design', 'complex', 'system', 'scienc', 'system', 'design', 'system', 'engin', 'tradit', 'system', 'engin', 'gp', 'system']"
O. Strauss,maxitive kernel;summative kernel;information element;regular mesh;fuzzy extension;fuzzy partition;cloudy kernel;possibility distribution;digital signal;probability distribution,"['maxit', 'kernel', 'summ', 'kernel', 'inform', 'element', 'regular', 'mesh', 'fuzzi', 'extens', 'fuzzi', 'partit', 'cloudi', 'kernel', 'possibl', 'distribut', 'digit', 'signal', 'probabl', 'distribut']"
Margarita V. Korovina,hybrid system;Uniformity Principle;Lecture Notes;continuous data;equality test;Finite Bisimulations;computable continuous data;continuous function;Computer Science;real number,"['hybrid', 'system', 'uniform', 'principl', 'lectur', 'note', 'continu', 'data', 'equal', 'test', 'finit', 'bisimul', 'comput', 'continu', 'data', 'continu', 'function', 'comput', 'scienc', 'real', 'number']"
Vítor Santos Costa,ILP system;inductive logic programming;logic program;logic programming;Prolog program;Prolog system;logic programming system;parallel logic programming system;parallel execution;Prolog application,"['ilp', 'system', 'induct', 'logic', 'program', 'logic', 'program', 'logic', 'program', 'prolog', 'program', 'prolog', 'system', 'logic', 'program', 'system', 'parallel', 'logic', 'program', 'system', 'parallel', 'execut', 'prolog', 'applic']"
José Félix Costa,Turing machine;physical system;recursive function;physical experiment;computational power;physical measurement;non-uniform complexity class;experimental oracle;polynomial time;analog characterization,"['ture', 'machin', 'physic', 'system', 'recurs', 'function', 'physic', 'experi', 'comput', 'power', 'physic', 'measur', 'non-uniform', 'complex', 'class', 'experiment', 'oracl', 'polynomi', 'time', 'analog', 'character']"
Giuseppe Carbone,mechanical design;proposed design;experimental test;control design;design consideration;design evolution;design parameter;optimal design;LARM hand;dynamic simulation,"['mechan', 'design', 'propos', 'design', 'experiment', 'test', 'control', 'design', 'design', 'consider', 'design', 'evolut', 'design', 'paramet', 'optim', 'design', 'larm', 'hand', 'dynam', 'simul']"
T. G. Szymanski,lower bound;cycle problem;grammar problem;subgraph problem;data compression;nondeterministic exponential time;SimulationDelay test problem;certain decidable grammar problem;containment problem;context-free grammar problem,"['lower', 'bound', 'cycl', 'problem', 'grammar', 'problem', 'subgraph', 'problem', 'data', 'compress', 'nondeterminist', 'exponenti', 'time', 'simulationdelay', 'test', 'problem', 'certain', 'decid', 'grammar', 'problem', 'contain', 'problem', 'context-fre', 'grammar', 'problem']"
T. H. Szymanski,restricted output queueing;smart pixel array;interconnection network;Optoelectronic CMOS Switch Core;m CMOS technology;cut-through switching;free-space intelligent optical backplaneFast;free-space optical backplane;integrated optical laser diode;intelligent optical backplane,"['restrict', 'output', 'queue', 'smart', 'pixel', 'array', 'interconnect', 'network', 'optoelectron', 'cmo', 'switch', 'core', 'm', 'cmo', 'technolog', 'cut-through', 'switch', 'free-spac', 'intellig', 'optic', 'backplanefast', 'free-spac', 'optic', 'backplan', 'integr', 'optic', 'laser', 'diod', 'intellig', 'optic', 'backplan']"
M. Rueher,constraint system;constraint programming;constraint store;global constraint;constraint technique;experimental result;Boolean constraint;Boolean constraint system;constraint satisfaction problem;constraint solvers,"['constraint', 'system', 'constraint', 'program', 'constraint', 'store', 'global', 'constraint', 'constraint', 'techniqu', 'experiment', 'result', 'boolean', 'constraint', 'boolean', 'constraint', 'system', 'constraint', 'satisfact', 'problem', 'constraint', 'solver']"
XuKun Shen,range image;proposed method;SPH method;SPH-based method;adaptive method;alignment method;automated registration method;blind watermarking method;compression method;estimation method,"['rang', 'imag', 'propos', 'method', 'sph', 'method', 'sph-base', 'method', 'adapt', 'method', 'align', 'method', 'autom', 'registr', 'method', 'blind', 'watermark', 'method', 'compress', 'method', 'estim', 'method']"
Jean Mairesse,0-automatic queue;product form;stationary distribution;heap model;infinite group;Busy Period;simple M;special buffering mechanism;random walk;study network,"['0-automat', 'queue', 'product', 'form', 'stationari', 'distribut', 'heap', 'model', 'infinit', 'group', 'busi', 'period', 'simpl', 'm', 'special', 'buffer', 'mechan', 'random', 'walk', 'studi', 'network']"
Francisco Jose Rodriguez-Henriquez,mathbb F;binary extension field;field multiplication;field arithmetic;finite field;prime field;FPGA implementation;hardware implementation;parallel version;experimental result,"['mathbb', 'f', 'binari', 'extens', 'field', 'field', 'multipl', 'field', 'arithmet', 'finit', 'field', 'prime', 'field', 'fpga', 'implement', 'hardwar', 'implement', 'parallel', 'version', 'experiment', 'result']"
Hamid Shojaei,global routing;global routing stage;congestion analysis;global routing grid-graph;global routing procedure;routing congestion hotspot location;total overflow;local net;practical realization;detailed routing,"['global', 'rout', 'global', 'rout', 'stage', 'congest', 'analysi', 'global', 'rout', 'grid-graph', 'global', 'rout', 'procedur', 'rout', 'congest', 'hotspot', 'locat', 'total', 'overflow', 'local', 'net', 'practic', 'realiz', 'detail', 'rout']"
Angela Carbone,students practise skill;introductory programming examination;poor learning behaviour;introductory programming student;programming task;introductory programming courses task;Australian University;problem-based learning;Monash University;programming course,"['student', 'practis', 'skill', 'introductori', 'program', 'examin', 'poor', 'learn', 'behaviour', 'introductori', 'program', 'student', 'program', 'task', 'introductori', 'program', 'cours', 'task', 'australian', 'univers', 'problem-bas', 'learn', 'monash', 'univers', 'program', 'cours']"
Viggo Kann,new assignment;Min k-Partition problem;Computer Science;approximability property;automated assessment system;Max k-Cut problem;NP-hard optimization problem;approximation class;minimization problem;individual assignment,"['new', 'assign', 'min', 'k-partit', 'problem', 'comput', 'scienc', 'approxim', 'properti', 'autom', 'assess', 'system', 'max', 'k-cut', 'problem', 'np-hard', 'optim', 'problem', 'approxim', 'class', 'minim', 'problem', 'individu', 'assign']"
Irina Kondratova,mobile technology;mobile device;mobile data collection application;mobile learning application;mobile multimodal application;networking technology;discusses mobile usage scenario;mobile application;mobile context;mobile data entry,"['mobil', 'technolog', 'mobil', 'devic', 'mobil', 'data', 'collect', 'applic', 'mobil', 'learn', 'applic', 'mobil', 'multimod', 'applic', 'network', 'technolog', 'discuss', 'mobil', 'usag', 'scenario', 'mobil', 'applic', 'mobil', 'context', 'mobil', 'data', 'entri']"
Lino Costa,head movement;genetic algorithm;non-assisted gait;stochastic algorithm;Multiobjective optimization;optimization system;head movement stabilization;combined approach;new approach;proposed approach,"['head', 'movement', 'genet', 'algorithm', 'non-assist', 'gait', 'stochast', 'algorithm', 'multiobject', 'optim', 'optim', 'system', 'head', 'movement', 'stabil', 'combin', 'approach', 'new', 'approach', 'propos', 'approach']"
Ernesto Costa,dynamic environment;evolutionary algorithm;Evolutionary Algorithms;evolutionary process;memory scheme;dynamic optimization problem;different type;best solution;dynamic approach;regulatory mechanism,"['dynam', 'environ', 'evolutionari', 'algorithm', 'evolutionari', 'algorithm', 'evolutionari', 'process', 'memori', 'scheme', 'dynam', 'optim', 'problem', 'differ', 'type', 'best', 'solut', 'dynam', 'approach', 'regulatori', 'mechan']"
João Pedro Costa,performance control guarantee;data load;data warehouse;large data set;Aggregate QueriesIn large data;Data WarehousesIn large data;base DW data;base data warehouse;basic data quality issue;binary searchCurrent data base,"['perform', 'control', 'guarante', 'data', 'load', 'data', 'warehous', 'larg', 'data', 'set', 'aggreg', 'queriesin', 'larg', 'data', 'data', 'warehousesin', 'larg', 'data', 'base', 'dw', 'data', 'base', 'data', 'warehous', 'basic', 'data', 'qualiti', 'issu', 'binari', 'searchcurr', 'data', 'base']"
K W Regan,lower bound;time difference;exponential time;group time synchronization protocol;linear time;stronger lower bound;superlinear lower bound;TM time complexity class;extra deterministic linear time;linear time complexityMinimum-complexity,"['lower', 'bound', 'time', 'differ', 'exponenti', 'time', 'group', 'time', 'synchron', 'protocol', 'linear', 'time', 'stronger', 'lower', 'bound', 'superlinear', 'lower', 'bound', 'tm', 'time', 'complex', 'class', 'extra', 'determinist', 'linear', 'time', 'linear', 'time', 'complexityminimum-complex']"
Xingzhi Sun,data quality;data stream;data reduction approach;customer data;data mining;data point;data reduction;data reduction process;data set;ontology data update,"['data', 'qualiti', 'data', 'stream', 'data', 'reduct', 'approach', 'custom', 'data', 'data', 'mine', 'data', 'point', 'data', 'reduct', 'data', 'reduct', 'process', 'data', 'set', 'ontolog', 'data', 'updat']"
John R. Rice,mathematical software;Computer Science;computational science;partial differential equation;problem-solving environment;collocation equation;numerical computation;appropriate software;mathematical software development;public domain software,"['mathemat', 'softwar', 'comput', 'scienc', 'comput', 'scienc', 'partial', 'differenti', 'equat', 'problem-solv', 'environ', 'colloc', 'equat', 'numer', 'comput', 'appropri', 'softwar', 'mathemat', 'softwar', 'develop', 'public', 'domain', 'softwar']"
Yonglin Ren,malicious node;mobile network;wireless network;mobile agent paradigm;provable security property;security analysis;security concern;secure data exchange;mobile agent;mobile healthcare,"['malici', 'node', 'mobil', 'network', 'wireless', 'network', 'mobil', 'agent', 'paradigm', 'provabl', 'secur', 'properti', 'secur', 'analysi', 'secur', 'concern', 'secur', 'data', 'exchang', 'mobil', 'agent', 'mobil', 'healthcar']"
Rajeevan Amirtharajah,passive energy;battery energy density;Vibration-to-electric energy conversionA system;Vibration-to-electric energy conversionPower scalable;available energy;capacitive energy storage;dense energy storage;electrical energy;energy scalable DSP architecture;energy scalable signal processing,"['passiv', 'energi', 'batteri', 'energi', 'densiti', 'vibration-to-electr', 'energi', 'conversiona', 'system', 'vibration-to-electr', 'energi', 'conversionpow', 'scalabl', 'avail', 'energi', 'capacit', 'energi', 'storag', 'dens', 'energi', 'storag', 'electr', 'energi', 'energi', 'scalabl', 'dsp', 'architectur', 'energi', 'scalabl', 'signal', 'process']"
António Grilo,Wireless Sensor Network;wireless network;intermediate node;sensor network;transport layer;wireless multimedia;computer simulation;Sensor Networks;Wireless Sensor Networks;WSN transport protocol,"['wireless', 'sensor', 'network', 'wireless', 'network', 'intermedi', 'node', 'sensor', 'network', 'transport', 'layer', 'wireless', 'multimedia', 'comput', 'simul', 'sensor', 'network', 'wireless', 'sensor', 'network', 'wsn', 'transport', 'protocol']"
Sandeep Uttamchandani,Policy-based storage management;IP storage area network;data corruption;storage area network;storage subsystem;storage system;hardware support;low level storage device;storage device;data deduplication,"['policy-bas', 'storag', 'manag', 'ip', 'storag', 'area', 'network', 'data', 'corrupt', 'storag', 'area', 'network', 'storag', 'subsystem', 'storag', 'system', 'hardwar', 'support', 'low', 'level', 'storag', 'devic', 'storag', 'devic', 'data', 'dedupl']"
François Scharffe,transport data;RDF data;data integration;data mediation;data principle;data translation problem;new data;semantic data;term data;unconnected data island,"['transport', 'data', 'rdf', 'data', 'data', 'integr', 'data', 'mediat', 'data', 'principl', 'data', 'translat', 'problem', 'new', 'data', 'semant', 'data', 'term', 'data', 'unconnect', 'data', 'island']"
V S Ryaben'kii,difference potential;general solution;wave equation;finite-difference formulation;total acoustic field;outgoing component;subsonic speed;right-hand side;Three-dimensional Wave Equation;difference equation,"['differ', 'potenti', 'gener', 'solut', 'wave', 'equat', 'finite-differ', 'formul', 'total', 'acoust', 'field', 'outgo', 'compon', 'subson', 'speed', 'right-hand', 'side', 'three-dimension', 'wave', 'equat', 'differ', 'equat']"
Janez Žerovnik,hexagonal graph;Cartesian graph product;graph G;triangle-free hexagonal graph;weighted hexagonal graph;cartesian graph bundle;graph bundle;graph product;kG-connected graph;Cartesian graph,"['hexagon', 'graph', 'cartesian', 'graph', 'product', 'graph', 'g', 'triangle-fre', 'hexagon', 'graph', 'weight', 'hexagon', 'graph', 'cartesian', 'graph', 'bundl', 'graph', 'bundl', 'graph', 'product', 'kg-connect', 'graph', 'cartesian', 'graph']"
Yehong Shao,4-connected line graph;4-edge-connected graph;line graph;claw free graph;11-connected line graph;3-connected claw-free graph;graph isomorphic;11-connected claw-free graph;2-connected graph;3-connected graph,"['4-connect', 'line', 'graph', '4-edge-connect', 'graph', 'line', 'graph', 'claw', 'free', 'graph', '11-connect', 'line', 'graph', '3-connect', 'claw-fre', 'graph', 'graph', 'isomorph', '11-connect', 'claw-fre', 'graph', '2-connect', 'graph', '3-connect', 'graph']"
M. Sonza Reorda,experimental result;proposed approach;test program;fault coverage;new approach;test length;test pattern generation;test sequence;automatic test program generation;suitable test program,"['experiment', 'result', 'propos', 'approach', 'test', 'program', 'fault', 'coverag', 'new', 'approach', 'test', 'length', 'test', 'pattern', 'gener', 'test', 'sequenc', 'automat', 'test', 'program', 'gener', 'suitabl', 'test', 'program']"
Stefan Siersdorfer,Social Web;meta method;sentiment analysis;document classification;document collection;Social Media;training data;Web content;international workshop;query sentiment,"['social', 'web', 'meta', 'method', 'sentiment', 'analysi', 'document', 'classif', 'document', 'collect', 'social', 'media', 'train', 'data', 'web', 'content', 'intern', 'workshop', 'queri', 'sentiment']"
Saleem A Kassam,blind equalization;good performance;phase recovery;extended radial basis function;signal constellation;different performance measure;equalizer convergence performance;equalizer performance;exhibit better performance;imaging performance,"['blind', 'equal', 'good', 'perform', 'phase', 'recoveri', 'extend', 'radial', 'basi', 'function', 'signal', 'constel', 'differ', 'perform', 'measur', 'equal', 'converg', 'perform', 'equal', 'perform', 'exhibit', 'better', 'perform', 'imag', 'perform']"
E. Celledoni,numerical experiment;Lie group;methods linear convective term;numerical integration;Lie algebra;Lie group integrator;Lie group method;Kutta numerical integrator;extensive numerical comparison;good numerical stability,"['numer', 'experi', 'lie', 'group', 'method', 'linear', 'convect', 'term', 'numer', 'integr', 'lie', 'algebra', 'lie', 'group', 'integr', 'lie', 'group', 'method', 'kutta', 'numer', 'integr', 'extens', 'numer', 'comparison', 'good', 'numer', 'stabil']"
H Touati,initial state;retimed circuit;programming language;BDDsA simple algorithm;correct initial state;efficient tool;equivalent initial state;logic synthesis tool;original circuit;pipelined circuit,"['initi', 'state', 'retim', 'circuit', 'program', 'languag', 'bddsa', 'simpl', 'algorithm', 'correct', 'initi', 'state', 'effici', 'tool', 'equival', 'initi', 'state', 'logic', 'synthesi', 'tool', 'origin', 'circuit', 'pipelin', 'circuit']"
Christian Wallraven,facial expression;global information;image statistic;configural information;global image information;perceptual research;perceptual space;human observer;perceptual impact;perceptual quality,"['facial', 'express', 'global', 'inform', 'imag', 'statist', 'configur', 'inform', 'global', 'imag', 'inform', 'perceptu', 'research', 'perceptu', 'space', 'human', 'observ', 'perceptu', 'impact', 'perceptu', 'qualiti']"
Ken Hartness,computer science;Android programming;team project;QtGraphical user interface;cross-platform graphical user interface;different user;explicit user model;graphical user interface;graphical user interface development;simple user interface creation,"['comput', 'scienc', 'android', 'program', 'team', 'project', 'qtgraphic', 'user', 'interfac', 'cross-platform', 'graphic', 'user', 'interfac', 'differ', 'user', 'explicit', 'user', 'model', 'graphic', 'user', 'interfac', 'graphic', 'user', 'interfac', 'develop', 'simpl', 'user', 'interfac', 'creation']"
Yael Dubinsky,software development governance;software development process;software development;software development method;agile software development;software project;software team;mobile software engineering;agile software development environment;agile software development method,"['softwar', 'develop', 'govern', 'softwar', 'develop', 'process', 'softwar', 'develop', 'softwar', 'develop', 'method', 'agil', 'softwar', 'develop', 'softwar', 'project', 'softwar', 'team', 'mobil', 'softwar', 'engin', 'agil', 'softwar', 'develop', 'environ', 'agil', 'softwar', 'develop', 'method']"
Patrick Duvaut,efficient algorithm;Bayesian estimation;Bayesian framework;Gibbs sampler;path depth;path expansion complexity;alien noise cancellation;instantaneous frequency estimation;Volterra filter;multipath environment,"['effici', 'algorithm', 'bayesian', 'estim', 'bayesian', 'framework', 'gibb', 'sampler', 'path', 'depth', 'path', 'expans', 'complex', 'alien', 'nois', 'cancel', 'instantan', 'frequenc', 'estim', 'volterra', 'filter', 'multipath', 'environ']"
A. E. Ruehli,circuit analysis;time domain;Optimized waveform relaxation method;longitudinal partitioning;logic gate;companion paper;partial inductance matrix;MOS digital integrated circuit;PEEC circuit element;SPICE-compatible circuit,"['circuit', 'analysi', 'time', 'domain', 'optim', 'waveform', 'relax', 'method', 'longitudin', 'partit', 'logic', 'gate', 'companion', 'paper', 'partial', 'induct', 'matrix', 'mo', 'digit', 'integr', 'circuit', 'peec', 'circuit', 'element', 'spice-compat', 'circuit']"
Twittie Senivongse,Web service;service consumer;composite service;service description;service provider;service tester;integrated service profile;semantic web service;constituent service;integrated service profileService discovery,"['web', 'servic', 'servic', 'consum', 'composit', 'servic', 'servic', 'descript', 'servic', 'provid', 'servic', 'tester', 'integr', 'servic', 'profil', 'semant', 'web', 'servic', 'constitu', 'servic', 'integr', 'servic', 'profileservic', 'discoveri']"
Marc Andries,update method;object creation;hereditarily finite set;close correspondence;new domain element;complete standard database programming;database manipulation;database query language;database system;graph-oriented database user-interface,"['updat', 'method', 'object', 'creation', 'hereditarili', 'finit', 'set', 'close', 'correspond', 'new', 'domain', 'element', 'complet', 'standard', 'databas', 'program', 'databas', 'manipul', 'databas', 'queri', 'languag', 'databas', 'system', 'graph-ori', 'databas', 'user-interfac']"
Martin Strauss,data stream;decoding algorithm;leqslant p sub-linear time;storage-efficient algorithm;data matrix;polynomial time;data item;data items decrease;constant time;encode time,"['data', 'stream', 'decod', 'algorithm', 'leqslant', 'p', 'sub-linear', 'time', 'storage-effici', 'algorithm', 'data', 'matrix', 'polynomi', 'time', 'data', 'item', 'data', 'item', 'decreas', 'constant', 'time', 'encod', 'time']"
A. Chattopadhyay,design space exploration;design flow;rASIP design;ADL-based ASIP design;ADL-based processor design approach;ADL-driven processor design;ASIP design;Integrated ASIP design environment;clear design methodology;design complexity,"['design', 'space', 'explor', 'design', 'flow', 'rasip', 'design', 'adl-bas', 'asip', 'design', 'adl-bas', 'processor', 'design', 'approach', 'adl-driven', 'processor', 'design', 'asip', 'design', 'integr', 'asip', 'design', 'environ', 'clear', 'design', 'methodolog', 'design', 'complex']"
Jochen Rick,personal home page;collaborative learning;Medium-based design;Collaborative game;interactive surface;design process;enabling learning;poor learning environments perspective;traditional learning method;asynchronous collaborative tool,"['person', 'home', 'page', 'collabor', 'learn', 'medium-bas', 'design', 'collabor', 'game', 'interact', 'surfac', 'design', 'process', 'enabl', 'learn', 'poor', 'learn', 'environ', 'perspect', 'tradit', 'learn', 'method', 'asynchron', 'collabor', 'tool']"
Mario ?agalj,wireless network;key establishment;radio channel;radio communication channel;available channel;integrity region;human cognitive skill;secret key;wireless device;wireless sensor mote,"['wireless', 'network', 'key', 'establish', 'radio', 'channel', 'radio', 'commun', 'channel', 'avail', 'channel', 'integr', 'region', 'human', 'cognit', 'skill', 'secret', 'key', 'wireless', 'devic', 'wireless', 'sensor', 'mote']"
